"referee","games","name","value","perGame","league_average","zscore","avg_zscore","refDuplicate"
"Tyler Ford",45,"Def. 3 secs",4,0.0888888888888889,0.118978400034626,-0.252898939109791,0.254300662867106,"Tyler Ford"
"Marc Davis",56,"Personal",175,3.125,4.22352125520297,-0.260096064119412,-0.155074304941386,"Marc Davis"
"Courtney Kirkland",45,"Technical",8,0.177777777777778,0.240835552386347,-0.26182917756018,-0.028034642381387,"Courtney Kirkland"
"Scott Wall",45,"Technical",8,0.177777777777778,0.240835552386347,-0.26182917756018,-0.00113243705699691,"Scott Wall"
"Kevin Scott",47,"Offensive",3,0.0638297872340425,0.0885186864460105,-0.278911721391463,-0.193461001598405,"Kevin Scott"
"Mark Lindsay",30,"Off. charge",8,0.266666666666667,0.37304410415833,-0.285160484526821,0.183071883270505,"Mark Lindsay"
"Ken Mauer",48,"Technical",8,0.166666666666667,0.240835552386347,-0.307964853962669,0.0206302978184057,"Ken Mauer"
"John Goble",49,"Offensive",3,0.0612244897959184,0.0885186864460105,-0.308343896028546,-0.0916506103157963,"John Goble"
"John Goble",49,"Def. 3 secs",4,0.0816326530612245,0.118978400034626,-0.313886780815115,-0.0916506103157963,"John Goble"
"Pat Fraher",22,"Personal",63,2.86363636363636,4.22352125520297,-0.321978938756698,-0.15806797374981,"Pat Fraher"
"Jacyn Goble",45,"Loose ball",20,0.444444444444444,0.681468775345121,-0.347813927029362,-0.18750172746637,"Jacyn Goble"
"James Capers",52,"Offensive",3,0.0576923076923077,0.0885186864460105,-0.34824713279613,0.0593760708651692,"James Capers"
"Karl Lane",52,"Def. 3 secs",4,0.0769230769230769,0.118978400034626,-0.353470235768089,-0.0743947520423768,"Karl Lane"
"Josh Tiven",54,"Off. charge",13,0.240740740740741,0.37304410415833,-0.35465877075338,-0.127243121114654,"Josh Tiven"
"Michael Smith",46,"Technical",7,0.152173913043478,0.240835552386347,-0.368141823183307,0.109938049766203,"Michael Smith"
"Tre Maddox",36,"Offensive",2,0.0555555555555556,0.0885186864460105,-0.372386127877755,-0.219705369901467,"Tre Maddox"
"Curtis Blair",53,"Technical",8,0.150943396226415,0.240835552386347,-0.373251188494493,0.0434214044346208,"Curtis Blair"
